Family,Species,Author,Information,Occurrence,"Common names",Abundance,"Max. Length",Maturity,Remark,Picture
Acanthuridae,"Acanthurus auranticavus","Randall, 1956"," M, Fi",native," Ring-tail surgeon (English)",,"45.00 cm SL male/unsexed ",,"Known from Mentawai Islands (Ref. 27157); west and east part of Indonesia (Ref. 37792). Also recorded from Bali, Maumere Bay, Togean and Banggai Islands (Ref. 47567). Also Ref. 2334.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acaur_u2.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus bariene","Lesson, 1831"," M, Fi",native," Eye-spot surgeon (English)",,"50.00 cm TL male/unsexed ",,"From southwest Sumatra to Bali Strait (Ref. 5978, 47567). Also recorded from Raja Ampat Islands, Maumere Bay and Komodo; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 8631, 37792, 2334.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acbar_u0.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus blochii","Valenciennes, 1835"," M, Fi",native," Dark surgeon (English)",,"45.00 cm SL male/unsexed ",,"Recorded from Raja Ampat Islands, Maumere Bay, Komodo, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 1921.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acblo_u0.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus chronixis","Randall, 1960"," M",questionable," Botana abu abu (Malay), Mimic surgeonfish (English)",,"28.00 cm TL male/unsexed ",,"Reports from other areas than Caroline Is. and Micornesia are probably misidentifications of the juvenile stages of Acanthurus pyroferus (J.E. Randall, pers. comm.),","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/gif/tn_Acchr_f0.gif"", ""Open image"")"
Acanthuridae,"Acanthurus dussumieri","Valenciennes, 1835"," M, Fi",native," Pencilled surgeon (English)",,"54.00 cm TL male/unsexed ",,"From southwest Sumatra to Timor Sea (Ref. 5978, 47567). Also Ref. 27157, 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acdus_u4.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus fowleri","de Beaufort, 1951"," M",native," Horse-shoe surgeon (English)",,"45.00 cm SL male/unsexed ",,"Known from Flores (Ref. 8631, 47567), Mentawai Islands (Ref. 27157), Raja Ampat Islands, Togean and Banggai Islands (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acfow_u2.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus grammoptilus","Richardson, 1843"," M, Fi",native,,,"35.60 cm FL male/unsexed ",,,"=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acgra_u4.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus guttatus","Forster, 1801"," M",native," White-spotted surgeon (English), Botana mutiara (Malay), Mustard surgeonfish (English)",,"26.00 cm TL male/unsexed ",,"Found in west Indonesia (Ref. 37792). Also recorded from Manado and vicinity and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acgut_u0.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus japonicus","(Schmidt, 1931)"," M",native," White-nose surgeonfish (English), Botana kacamata (Malay), Powder black surgeon (English)",,"23.00 cm TL male/unsexed ",,"Also Ref. 37792, 9710.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acjap_u5.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus leucocheilus","Herre, 1927"," M",native," White-spine surgeon (English), Malelah (Bajo), Kuu (Palo)",,"45.00 cm SL male/unsexed ",,"Known from Bali (Ref. 8631, 47567); also from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Maumere Bay, Komodo, Manado and vicinity, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acleu_u0.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus leucosternon","Bennett, 1833"," M, Fi",native," Botana biru (Malay), Powder blue tang (English)",,"54.00 cm TL male/unsexed ",,"Occurs in southwestern Indonesia (Ref. 9710; In range: Ref. 47567); also Mentawai Islands (Ref. 27157) and Bali (Ref. 37792). Also Ref. 37792.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acleu_ui.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus lineatus","(Linnaeus, 1758)"," M, Fi",native," Lined surgeon (English), Botana kasur (Malay), Dodoh igah (Bajo), Clown surgeon (English), Kuu ragi-ragi (Palo)",,"38.00 cm TL male/unsexed ",,"Known from Bali Strait to Timor Sea (Ref. 5978; In range: Ref. 47567); also from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Manado and vicinity, Sangalakki Island, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Museum: LPPL JIF127 (PAN39). Also Ref. 8631, 37792, 48637.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Aclin_ud.jpg"", ""Open image"")"
Acanthuridae,"Acanthurus maculiceps","(Ahl, 1923)"," M, Fi",native," Spot-face surgeon (English)",,"40.00 cm SL male/unsexed ",,"Known from Bali (Ref. 1920, 47567); also from Mentawai Islands (Ref. 27157). Also recorded from Raja Ampat Islands, Komodo, Togean and Banggai Islands and Pulau Weh; with an Indonesian distribution from Papua to Sumatra (Ref. 47567). Also Ref. 8631, 37792, 1920.","=HYPERLINK(""https://www.fishbase.se/images/thumbnails/jpg/tn_Acmac_u5.jpg"", ""Open image"")"
